team,logoId,conference,wins,losses,ties,win_pct,wr_target_share,te_target_share,rb_target_share,wr1_catches,wr1_name,wr1_position,wr1_share,wr2_catches,wr2_name,wr2_share,wr3_catches,wr3_name,wr3_share,top3_share,pass_concentration,te1_name,te1_catches,rb1_rushes,rb1_name,rb1_position,rb1_share,rb2_rushes,rb2_name,rb2_share,rbbc,rush_concentration,pass_distribution_style,rush_distribution_style,qb_rating,pass_int_pct,sack_rate,pass_td_pct,pass_comp_pct,rush_broken_tackle_rate,rush_yds_per_att,pass_yds_per_att,yds_per_play,td_per_play,turnover_diff,explosive_plays_per_game,def_sacks_per_game,rush_td_pct,drop_rate,rec_yac_pct,total_turnovers,pass_rush_ratio
Packers,19,NFC,5.0,12.0,0.0,0.29411764705882354,40.98360655737705,23.934426229508198,35.08196721311476,60.0,Tucker Kraft,TE,19.672131147540984,59.0,TreVeyon Henderson,19.34426229508197,57.0,Matthew Golden,18.688524590163937,57.70491803278689,1467.6699811878527,Tucker Kraft,60.0,173.0,TreVeyon Henderson,HB,59.24657534246576,66.0,Bryan Molden,22.602739726027394,False,4084.4905235503848,Balanced,Feature Back,86.38,5.084745762711865,5.788423153692615,5.084745762711865,64.83050847457628,0.3116438356164384,4.904109589041096,7.375,6.430628272251309,0.05366492146596859,-8.0,0.5882352941176471,2.1176470588235294,5.821917808219178,8.150470219435736,48.89399597816719,35.0,1.6164383561643836
Panthers,20,NFC,11.0,6.0,0.0,0.6470588235294118,41.735537190082646,27.685950413223143,30.57851239669421,61.0,Chuba Hubbard,HB,25.206611570247933,34.0,Evan Engram,14.049586776859504,34.0,Calvin Ridley,14.049586776859504,53.30578512396694,1447.1347585547435,Evan Engram,34.0,252.0,Chuba Hubbard,HB,71.1864406779661,74.0,J.J. Washington,20.903954802259886,False,5550.44846627725,Balanced,Bellcow,85.95,4.81283422459893,9.66183574879227,5.080213903743315,64.70588235294117,0.23163841807909605,6.65819209039548,8.267379679144385,7.4848901098901095,0.07280219780219781,21.0,1.411764705882353,1.6470588235294117,9.6045197740113,7.662835249042145,46.474773609314354,28.0,1.0564971751412429
Patriots,21,AFC,10.0,7.0,0.0,0.5882352941176471,59.48275862068966,19.396551724137932,21.120689655172413,56.0,Rashee Rice,WR,24.137931034482758,45.0,Jahlil Howard,19.396551724137932,43.0,Isaiah Likely,18.53448275862069,62.06896551724138,1752.1923305588589,Isaiah Likely,43.0,221.0,Jahlil Howard,HB,79.78339350180505,26.0,Derrick Henry,9.386281588447654,False,6510.967170170341,Concentrated,Bellcow,94.84,6.460674157303371,6.315789473684211,7.303370786516854,65.4494382022472,0.21660649819494585,4.7797833935018055,9.617977528089888,7.500789889415482,0.0631911532385466,15.0,0.5294117647058824,2.176470588235294,5.054151624548736,5.857740585774058,39.19392523364486,27.0,1.2851985559566788
Raiders,22,AFC,13.0,4.0,0.0,0.7647058823529411,47.91666666666667,29.166666666666668,22.916666666666664,68.0,Dont'e Thornton Jr.,WR,23.61111111111111,58.0,Ashton Jeanty,20.13888888888889,39.0,Michael Mayer,13.541666666666666,57.291666666666664,1554.663387345679,Michael Mayer,39.0,252.0,Ashton Jeanty,HB,80.0,36.0,Javonte Williams,11.428571428571429,False,6588.662131519276,Concentrated,Bellcow,106.55,5.35279805352798,4.640371229698376,9.975669099756692,69.34306569343066,0.3333333333333333,5.622222222222222,9.447688564476886,7.787878787878788,0.09090909090909091,11.0,0.7058823529411765,1.8235294117647058,7.936507936507936,7.81758957654723,42.38461538461539,34.0,1.3047619047619048
Rams,23,NFC,13.0,4.0,0.0,0.7647058823529411,54.24242424242425,20.606060606060606,25.151515151515152,76.0,Puka Nacua,WR,23.03030303030303,68.0,Dylan Sampson,20.606060606060606,48.0,Eric Neighbors,14.545454545454545,58.18181818181819,1551.5151515151515,Noah Fant,41.0,223.0,Dylan Sampson,HB,70.7936507936508,41.0,Jaylen Wright,13.015873015873018,False,5262.383471907281,Concentrated,Bellcow,121.62,3.2710280373831773,3.167420814479638,7.009345794392523,77.57009345794393,0.26031746031746034,4.6380952380952385,9.549065420560748,7.467025572005384,0.07133243606998654,6.0,0.8235294117647058,1.4705882352941178,7.301587301587302,5.014749262536873,54.266043766904346,23.0,1.3587301587301588
Ravens,24,AFC,12.0,5.0,0.0,0.7058823529411765,52.88135593220339,24.40677966101695,22.71186440677966,59.0,Dalton Kincaid,TE,20.0,58.0,Tyreek Hill,19.661016949152543,54.0,Eddie Talley,18.305084745762713,57.96610169491525,1575.9839126687737,Dalton Kincaid,59.0,183.0,Eddie Talley,HB,57.1875,89.0,Tank Bigsby,27.8125,True,4098.437500000001,Concentrated,RBBC,92.67,5.405405405405405,5.330490405117271,7.882882882882883,66.44144144144144,0.253125,4.815625,8.813063063063064,7.138743455497382,0.06806282722513089,4.0,0.7058823529411765,1.7647058823529411,5.3125,8.201892744479496,43.2660362892921,33.0,1.3875
Saints,26,NFC,12.0,5.0,0.0,0.7058823529411765,59.199999999999996,24.53333333333333,16.266666666666666,106.0,Chris Olave,WR,28.26666666666667,83.0,Luke Musgrave,22.133333333333333,74.0,Jakobi Meyers,19.733333333333334,70.13333333333334,1938.9866666666667,Luke Musgrave,83.0,232.0,James Cook III,HB,68.84272997032642,81.0,Cam Skattebo,24.03560830860534,False,5345.560848470974,Concentrated,Feature Back,116.23,3.6637931034482754,4.132231404958678,8.620689655172415,75.86206896551724,0.19584569732937684,6.459940652818991,8.702586206896552,7.759051186017478,0.07240948813982521,4.0,1.411764705882353,1.3529411764705883,5.341246290801187,6.78391959798995,46.18937644341801,22.0,1.3768545994065282
Seahawks,27,NFC,14.0,3.0,0.0,0.8235294117647058,58.60058309037901,25.364431486880466,16.034985422740526,62.0,Jaxon Smith-Njigba,WR,18.075801749271136,50.0,David Njoku,14.577259475218659,48.0,Tory Horton,13.994169096209912,46.647230320699705,1250.3293695654022,David Njoku,50.0,214.0,Kenneth Walker III,HB,63.69047619047619,82.0,Zach Charbonnet,24.404761904761905,False,4742.772108843537,Balanced,Feature Back,127.915,2.89532293986637,3.4408602150537635,10.244988864142538,73.94209354120267,0.20238095238095238,5.761904761904762,8.888641425389755,7.5503184713375795,0.08662420382165605,14.0,0.8235294117647058,1.8529411764705883,6.547619047619048,4.735376044568245,47.13005570356019,17.0,1.3363095238095237
Steelers,28,AFC,9.0,8.0,0.0,0.5294117647058824,41.06463878326996,30.038022813688215,28.89733840304182,69.0,Pat Freiermuth,TE,26.23574144486692,44.0,Rondale Moore,16.730038022813687,39.0,Kaleb Johnson,14.82889733840304,57.79467680608364,1525.8280443551303,Pat Freiermuth,69.0,173.0,Kaleb Johnson,HB,50.0,87.0,Isaiah Barkley,25.14450867052023,True,3464.532727454977,Concentrated,RBBC,85.36,5.527638190954774,3.631961259079903,5.276381909547738,66.08040201005025,0.1907514450867052,6.002890173410405,8.015075376884422,7.079301075268817,0.07258064516129033,-4.0,1.1176470588235294,1.4705882352941178,9.53757225433526,6.093189964157706,40.940438871473354,28.0,1.1502890173410405
Texans,31,AFC,5.0,12.0,0.0,0.29411764705882354,46.61016949152542,34.18079096045198,19.2090395480226,70.0,Marco Bush,TE,19.774011299435028,63.0,Joe Mixon,17.796610169491526,63.0,Jayden Higgins,17.796610169491526,55.367231638418076,1445.1466692202114,Marco Bush,70.0,211.0,Joe Mixon,HB,80.22813688212928,28.0,C.J. Stroud,10.646387832699618,False,6574.332432158914,Balanced,Bellcow,107.19,6.8181818181818175,1.6260162601626018,8.884297520661157,71.07438016528926,0.23574144486692014,4.285171102661597,9.921487603305785,7.937081659973226,0.07764390896921017,-14.0,0.29411764705882354,1.0,5.7034220532319395,8.808290155440414,40.36864492606846,38.0,1.8403041825095057
Titans,29,AFC,10.0,7.0,0.0,0.5882352941176471,55.520504731861195,23.02839116719243,21.451104100946374,73.0,Chimere Dike,WR,23.02839116719243,62.0,Jameson Williams,19.558359621451103,46.0,Kyren Williams,14.511041009463725,57.09779179810726,1565.046920558469,Chigoziem Okonkwo,43.0,272.0,Kyren Williams,HB,82.67477203647417,30.0,Tony Pollard,9.118541033434651,False,6948.198926469637,Concentrated,Bellcow,107.44,6.0402684563758395,4.282655246252676,8.277404921700224,70.917225950783,0.26443768996960487,4.914893617021277,9.736017897091722,7.69201030927835,0.08118556701030928,4.0,0.47058823529411764,1.1176470588235294,7.90273556231003,7.761194029850746,40.349264705882355,35.0,1.358662613981763
Vikings,30,NFC,4.0,13.0,0.0,0.23529411764705882,63.868613138686136,22.62773722627737,13.503649635036496,61.0,Justin Jefferson,WR,22.26277372262774,57.0,Tai Felton,20.802919708029197,45.0,T.J. Hockenson,16.423357664233578,59.48905109489051,1611.96654057222,T.J. Hockenson,45.0,236.0,Jordan Mason,HB,71.29909365558912,27.0,Cam Francois,8.157099697885197,False,5248.674254524875,Concentrated,Bellcow,85.61,6.192660550458716,6.236559139784946,5.963302752293578,62.84403669724771,0.229607250755287,4.634441087613293,7.059633027522936,6.0130378096479795,0.0469361147327249,-15.0,0.4117647058823529,1.1764705882352942,3.0211480362537766,7.903780068728522,45.87394411955815,34.0,1.3172205438066464
