team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Chiefs,KC,8,,HB,553388027,Isiah Pacheco,4,0,1875,10,12,123.10,46,93.88,3,42,5,651,471,14.15,10.24,39.25
Chiefs,KC,8,,TE,553386965,Noah Gray,5,0,1085,83,4,7.30,4,80.00,1,14,0,15,33,3.75,8.25,3.00
Chiefs,KC,8,,TE,553387450,Travis Kelce,13,0,5920,87,12,187.00,49,84.48,9,42,9,306,840,6.24,17.14,70.00
Colts,IND,9,,HB,553386905,DJ Giddens,1,0,10560,21,2,7.40,4,80.00,1,12,0,17,34,4.25,8.50,3.09
Colts,IND,9,,TE,553388797,Tyler Warren,1,0,10769,84,11,98.10,35,100.00,0,36,2,159,511,4.54,14.60,46.45
Colts,IND,9,,WR,553387818,Adonai Mitchell,2,0,10183,10,1,16.00,2,100.00,0,69,1,64,80,32.00,40.00,7.27
Colts,IND,9,,WR,553386669,Josh Downs,3,0,2117,1,11,48.90,22,78.57,6,26,1,71,209,3.23,9.50,19.00
Colts,IND,9,,WR,553388099,Alec Pierce,4,0,1890,14,7,42.90,10,100.00,0,56,2,81,209,8.10,20.90,20.90
Colts,IND,9,,HB,553388580,Jonathan Taylor,6,0,604,28,10,103.50,45,93.75,3,80,1,328,525,7.29,11.67,52.50
Colts,IND,9,,WR,553388110,Michael Pittman Jr,6,0,532,11,10,107.40,26,89.66,3,49,5,117,514,4.50,19.77,51.40
Commanders,WAS,25,,HB,553386537,Jacory Croskey-Merritt,1,0,11008,22,9,57.40,28,96.55,1,60,1,201,234,7.18,8.36,21.27
Commanders,WAS,25,,WR,553387531,Jaylin Lane,1,0,10633,83,11,88.10,35,100.00,0,28,2,230,411,6.57,11.74,37.36
Commanders,WAS,25,,TE,553388406,Ben Sinnott,2,0,10247,82,6,37.80,8,100.00,0,69,2,78,178,9.75,22.25,19.78
Commanders,WAS,25,,WR,553387698,Luke McCaffrey,2,0,10166,11,2,12.60,2,100.00,0,28,1,32,46,16.00,23.00,4.18
Commanders,WAS,25,,HB,553388267,Chris Rodriguez Jr,3,0,4910,36,3,21.40,6,100.00,0,15,2,19,34,3.17,5.67,3.40
Commanders,WAS,25,,TE,553388679,Adam Trautman,6,0,622,86,3,3.80,2,66.67,1,16,0,10,18,5.00,9.00,1.80
Commanders,WAS,25,,WR,553387750,Terry McLaurin,7,0,9567,17,10,107.30,33,97.06,1,64,4,169,503,5.12,15.24,45.73
Commanders,WAS,25,,TE,553386063,Mark Andrews,8,0,8802,80,11,99.50,37,94.87,2,25,3,137,445,3.70,12.03,40.45
Commanders,WAS,25,,TE,553386025,Mo Alie-Cox,9,0,9697,88,4,18.40,6,100.00,0,41,0,44,124,7.33,20.67,11.27
Commanders,WAS,25,,WR,553386321,Noah Brown,9,0,8492,85,10,63.20,25,83.33,5,26,2,112,262,4.48,10.48,23.82
Cowboys,DAL,10,,HB,553388521,Cameron Yancey,0,0,3842,24,11,85.10,36,100.00,0,63,2,334,371,9.28,10.31,33.73
Cowboys,DAL,10,,WR,553389108,Dennis Burnett,0,0,4067,82,10,64.50,20,95.24,1,19,4,67,205,3.35,10.25,18.64
